Name,Age,Gender,Major,Living_Area,Parent_Education,Scholarship_Status,Part_Time_Job,Extracurricular_Activities,Internet_Access,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Attendance_Rate,Stress_Level,Exam_Proximity,Math_Score,Science_Score,Language_Score,History_Score,Average_Score,Grade
Jennifer Sanchez,23,Female,Humanities,Rural,High School,No,Yes,No,Yes,4.96,6.8,40.0,4.3,No,61,61,74,69,66,C
Ashley Jones,24,Female,Arts,Urban,Master,No,No,Yes,Yes,4.21,8.55,89.0,2.2,No,66,78,80,93,79,B
Andrew Brown,24,Male,STEM,Urban,Bachelor,No,Yes,No,Yes,0.9,5.12,90.1,7.2,Yes,53,56,51,50,53,D
Elizabeth Martinez,25,Female,STEM,Urban,Bachelor,No,No,No,Yes,5.32,6.36,57.4,2.7,No,69,82,69,62,71,B
Donna Martin,20,Female,STEM,Urban,Master,No,Yes,No,Yes,1.24,7.12,84.7,3.2,No,69,71,56,72,67,C
John Thomas,20,Male,Humanities,Urban,Bachelor,No,No,Yes,No,2.13,5.91,89.4,5.2,No,67,61,67,68,66,C
Michael Scott,19,Male,Humanities,Suburban,Bachelor,No,No,Yes,Yes,2.85,6.49,55.4,5.1,Yes,64,70,67,64,66,C
Anthony Hill,24,Male,Arts,Rural,High School,Yes,No,No,Yes,1.72,6.74,84.3,7.2,Yes,65,48,63,65,60,C
Joshua Flores,19,Male,Arts,Urban,High School,Yes,No,No,Yes,1.94,6.72,60.8,3.5,No,47,66,75,64,63,C
Jessica King,19,Female,Business,Suburban,High School,No,Yes,No,Yes,0.98,9.23,66.7,7.0,Yes,59,55,51,44,52,D
Betty Lewis,23,Female,Humanities,Suburban,Bachelor,No,No,Yes,Yes,3.41,7.45,74.0,2.5,No,83,73,83,90,82,B
Sandra Martin,19,Female,Business,Rural,High School,No,No,Yes,Yes,3.32,7.58,81.4,5.5,Yes,76,64,74,73,72,B
Andrew Ramirez,22,Male,Arts,Suburban,High School,No,Yes,No,Yes,5.1,7.65,82.1,4.6,No,52,66,88,73,70,B
Charles Torres,21,Male,Arts,Urban,Bachelor,No,No,No,Yes,3.45,7.74,87.4,3.3,No,73,76,79,74,76,B
Joshua Brown,18,Male,Business,Urban,Bachelor,Yes,Yes,No,No,1.81,6.9,81.4,5.5,No,66,78,79,62,71,B
Joshua Miller,20,Male,STEM,Suburban,Bachelor,No,Yes,Yes,Yes,7.36,6.62,98.2,3.9,No,89,94,83,71,84,B
Susan Wilson,22,Female,Business,Rural,High School,No,No,No,Yes,0.8,7.2,66.1,3.0,No,61,63,50,60,59,C
Sarah Garcia,18,Female,Arts,Urban,High School,No,Yes,Yes,Yes,2.17,8.39,70.4,5.4,Yes,64,55,79,62,65,C
Barbara Thomas,24,Female,Business,Urban,Master,Yes,No,No,Yes,4.91,8.35,40.0,5.2,Yes,77,66,73,64,70,B
David Scott,24,Male,STEM,Rural,High School,No,No,Yes,Yes,4.84,6.71,60.8,3.9,No,82,83,68,58,73,B
Jennifer Hernandez,24,Female,Business,Rural,Master,No,No,Yes,Yes,3.79,7.92,87.7,4.0,No,85,77,81,86,82,B
James Clark,22,Male,Arts,Rural,Master,No,No,Yes,Yes,5.14,6.77,85.2,3.2,No,62,62,84,90,75,B
Sandra Hill,22,Female,Business,Suburban,Master,No,Yes,Yes,Yes,7.31,7.04,90.2,3.4,No,85,77,97,86,86,A
Ashley Jackson,20,Female,STEM,Urban,High School,No,Yes,Yes,Yes,3.23,6.43,96.6,3.5,No,82,85,67,66,75,B
Patricia Anderson,21,Female,Business,Suburban,Master,Yes,No,No,Yes,5.24,6.78,68.2,3.7,No,88,67,70,73,75,B
Charles Jackson,25,Male,Business,Suburban,Master,No,No,No,Yes,4.0,8.61,74.6,1.0,No,85,73,84,60,76,B
Mark Jones,19,Male,Business,Urban,Bachelor,No,Yes,No,Yes,0.57,7.11,69.4,4.7,No,61,58,51,59,57,C
Jessica Taylor,24,Female,Business,Suburban,High School,No,No,Yes,Yes,3.06,7.16,94.2,2.9,No,78,90,66,80,79,B
Donna Gonzalez,23,Female,Business,Suburban,High School,No,No,No,No,3.71,5.26,83.5,3.7,No,60,47,59,58,56,C
Anthony Davis,21,Male,Humanities,Urban,High School,No,No,Yes,Yes,9.54,6.63,70.5,2.3,No,84,88,100,86,90,A
Emily Anderson,23,Female,STEM,Suburban,Bachelor,No,Yes,Yes,Yes,2.34,6.71,80.4,5.0,No,82,77,62,62,71,B
William Moore,20,Male,Humanities,Suburban,Bachelor,No,No,No,Yes,2.76,6.01,91.1,4.2,Yes,58,62,69,67,64,C
William Jones,20,Male,Arts,Rural,Bachelor,No,Yes,No,Yes,0.5,7.03,91.9,5.0,No,55,59,64,71,62,C
Patricia Hernandez,20,Female,STEM,Urban,Bachelor,No,Yes,No,Yes,0.95,6.48,87.3,3.4,No,66,66,63,57,63,C
Karen Hill,18,Female,STEM,Urban,Bachelor,No,No,No,Yes,3.07,7.1,93.1,3.7,No,80,64,69,56,67,C
Andrew Jackson,23,Male,STEM,Suburban,Bachelor,Yes,No,No,Yes,4.64,7.15,95.5,2.4,No,83,82,73,73,78,B
Sandra Davis,21,Female,Business,Urban,Master,No,Yes,No,Yes,2.91,5.85,44.6,3.4,No,62,62,66,47,59,C
Sandra Martin,25,Female,Business,Suburban,High School,No,No,Yes,Yes,9.77,6.52,87.9,1.7,No,93,86,90,83,88,A
Matthew Moore,21,Male,Business,Suburban,Bachelor,No,Yes,Yes,Yes,2.54,7.09,81.7,4.2,No,76,72,65,66,70,B
Steven Wright,22,Male,Arts,Urban,High School,No,Yes,No,Yes,5.64,8.42,83.4,7.1,Yes,70,73,81,76,75,B
Donald Lewis,22,Male,Arts,Suburban,Bachelor,No,No,No,Yes,1.43,7.31,79.5,3.4,No,67,71,70,62,68,C
John Hill,24,Male,STEM,Suburban,Bachelor,No,Yes,No,Yes,1.97,6.21,73.0,5.4,No,64,85,48,53,63,C
Patricia Ramirez,25,Female,STEM,Urban,Master,No,Yes,Yes,Yes,1.61,7.48,75.4,5.6,No,65,74,57,62,65,C
Nancy Hill,22,Female,Arts,Rural,High School,No,Yes,Yes,Yes,5.42,9.05,40.0,5.9,Yes,44,62,76,64,62,C
Thomas Johnson,20,Male,STEM,Rural,PhD,No,No,No,Yes,4.53,8.1,45.6,3.1,No,78,78,70,66,73,B
John Anderson,21,Male,STEM,Suburban,High School,No,No,No,Yes,7.78,7.66,72.2,2.7,No,90,93,70,71,81,B
Donna Nguyen,23,Female,Business,Suburban,Bachelor,Yes,No,Yes,Yes,5.71,7.87,86.8,1.4,No,98,75,81,85,85,A
James Moore,20,Male,Business,Suburban,High School,No,Yes,Yes,Yes,0.6,8.73,69.4,5.5,No,60,48,54,48,53,D
Donna Williams,18,Female,Humanities,Rural,Master,No,No,No,Yes,2.81,8.29,54.1,4.0,Yes,55,65,64,70,64,C
Barbara Walker,22,Female,Humanities,Suburban,Bachelor,Yes,Yes,Yes,Yes,0.56,7.68,57.7,5.5,No,51,48,72,63,59,C
Kimberly Lewis,20,Female,Business,Suburban,Bachelor,Yes,No,No,Yes,3.44,8.28,79.4,1.4,No,82,65,77,78,76,B
Sarah Lopez,20,Female,Arts,Rural,Master,No,No,No,Yes,7.18,5.7,75.3,6.0,Yes,79,56,78,79,73,B
Donna Ramirez,18,Female,Business,Urban,High School,No,No,Yes,Yes,4.02,5.2,67.1,5.2,No,60,63,59,59,60,C
Ashley Garcia,19,Female,Business,Rural,High School,No,Yes,Yes,No,5.11,7.19,82.3,4.1,No,74,77,73,68,73,B
Ashley Thompson,21,Female,STEM,Urban,Master,No,No,No,Yes,9.71,7.08,56.3,1.9,No,97,85,81,67,83,B
Anthony Perez,23,Male,Arts,Urban,High School,No,No,Yes,Yes,4.14,6.35,87.3,3.7,No,58,70,74,74,69,C
Christopher Miller,24,Male,Humanities,Urban,High School,No,No,No,No,2.24,7.99,89.7,5.1,Yes,61,54,73,69,64,C
David Perez,19,Male,Arts,Rural,Bachelor,No,Yes,Yes,Yes,2.74,4.76,68.7,7.0,No,50,57,61,66,59,C
Anthony Young,22,Male,Business,Rural,Bachelor,No,No,No,Yes,10.34,6.36,49.1,2.5,No,89,72,91,77,82,B
Karen Sanchez,20,Female,Business,Suburban,High School,No,No,Yes,Yes,6.43,6.42,75.3,5.1,Yes,76,73,85,74,77,B
Emily Williams,25,Female,STEM,Suburban,High School,No,Yes,Yes,Yes,3.71,5.04,82.0,4.9,No,79,74,62,51,67,C
Mark Garcia,18,Male,Arts,Suburban,High School,No,Yes,No,Yes,1.28,8.79,90.5,3.4,No,53,57,71,68,62,C
Nancy Taylor,18,Female,STEM,Rural,Bachelor,No,Yes,Yes,Yes,2.57,5.37,52.4,4.9,No,64,64,60,48,59,C
Christopher Davis,25,Male,STEM,Suburban,Master,No,No,Yes,Yes,2.43,6.29,92.7,5.7,Yes,88,65,76,65,74,B
Betty Allen,21,Female,STEM,Urban,PhD,Yes,No,Yes,Yes,3.18,8.09,97.4,4.8,Yes,97,93,82,80,88,A
James Wright,19,Male,Humanities,Urban,Bachelor,No,Yes,No,Yes,3.22,7.78,56.2,3.8,No,66,59,78,66,67,C
Sandra Clark,24,Female,STEM,Suburban,High School,No,No,Yes,Yes,1.28,5.67,62.4,5.6,No,59,64,57,53,58,C
Robert Gonzalez,21,Male,Arts,Suburban,Master,No,Yes,Yes,Yes,1.82,7.82,72.5,6.2,Yes,56,67,69,81,68,C
Steven White,25,Male,STEM,Urban,Bachelor,No,No,No,Yes,1.88,7.35,65.5,3.3,No,70,61,54,60,61,C
Joshua Young,20,Male,Humanities,Urban,High School,Yes,No,Yes,Yes,2.08,9.8,72.4,5.1,Yes,57,68,60,66,63,C
Sandra Brown,25,Female,STEM,Rural,Master,No,No,No,Yes,5.16,7.48,84.1,3.1,No,80,83,86,66,79,B
Richard Moore,21,Male,Arts,Urban,Master,No,No,No,Yes,3.2,6.83,56.2,3.1,No,63,66,74,75,70,B
Paul Rodriguez,23,Male,Humanities,Suburban,Bachelor,No,No,No,Yes,1.65,5.97,93.1,3.6,No,53,69,82,70,69,C
Charles Lewis,18,Male,Humanities,Rural,Bachelor,No,No,No,Yes,2.95,6.11,62.6,3.9,No,73,56,71,78,70,B
Donald Davis,18,Male,STEM,Suburban,High School,No,Yes,Yes,Yes,0.5,6.01,88.7,5.6,No,59,53,44,64,55,C
James Hill,22,Male,Humanities,Urban,High School,No,No,No,Yes,7.53,8.65,51.7,4.1,Yes,62,64,70,83,70,B
Jessica Hernandez,22,Female,Arts,Suburban,Bachelor,No,Yes,Yes,No,4.06,7.02,80.7,3.2,No,60,65,82,71,70,B
Charles Scott,25,Male,Arts,Rural,High School,No,Yes,No,Yes,4.24,7.68,91.7,6.3,Yes,61,73,79,75,72,B
James Scott,24,Male,STEM,Suburban,Bachelor,No,No,No,Yes,2.49,8.82,83.2,1.6,No,76,73,78,59,72,B
Anthony Garcia,20,Male,STEM,Rural,Master,Yes,No,No,Yes,5.96,4.17,49.2,5.8,Yes,63,63,61,59,62,C
Jessica Davis,23,Female,Business,Urban,Master,No,Yes,No,Yes,2.96,8.53,58.4,6.6,Yes,66,62,68,46,61,C
Sandra Davis,19,Female,Arts,Suburban,Bachelor,No,No,Yes,Yes,2.6,7.07,59.6,3.5,No,50,59,71,65,61,C
William Young,21,Male,Arts,Suburban,Master,No,Yes,Yes,Yes,4.19,7.52,84.6,5.7,No,72,71,83,73,75,B
Charles Allen,24,Male,Business,Rural,Master,Yes,Yes,Yes,Yes,0.51,6.01,78.9,5.0,No,66,45,66,61,60,C
Sarah Clark,20,Female,Business,Urban,Bachelor,No,Yes,No,No,0.5,6.09,79.2,6.0,No,54,39,54,42,47,D
Donald Walker,22,Male,STEM,Rural,High School,No,No,No,Yes,3.83,7.59,76.5,3.0,No,72,81,79,66,75,B
Jessica Robinson,25,Female,Business,Suburban,High School,No,No,No,Yes,3.05,9.86,80.4,5.5,Yes,55,55,65,58,58,C
Emily Martinez,21,Female,STEM,Urban,High School,No,No,No,Yes,4.87,8.2,61.1,5.3,Yes,89,68,65,71,73,B
Betty Gonzalez,22,Female,Business,Urban,High School,No,No,No,No,2.65,8.52,65.8,1.8,No,74,47,65,68,64,C
Michelle Allen,25,Female,Business,Rural,High School,No,Yes,Yes,Yes,1.72,6.77,69.6,3.6,No,85,65,65,55,68,C
William Jones,21,Male,Humanities,Urban,High School,No,No,No,Yes,4.0,6.28,84.2,3.5,No,77,69,71,74,73,B
Sarah Clark,19,Female,STEM,Urban,Bachelor,No,No,Yes,Yes,2.52,6.06,64.2,3.2,No,74,75,58,57,66,C
Christopher Allen,20,Male,STEM,Urban,Master,No,Yes,No,Yes,3.11,6.41,88.8,4.1,No,68,84,66,69,72,B
Thomas Smith,21,Male,STEM,Rural,High School,No,No,No,Yes,4.5,4.54,80.2,5.4,Yes,69,62,52,53,59,C
Charles Martin,23,Male,STEM,Suburban,Bachelor,No,No,Yes,Yes,8.63,6.13,89.9,2.8,No,94,100,83,76,88,A
Andrew Nguyen,24,Male,STEM,Suburban,Bachelor,No,No,No,Yes,2.53,6.33,65.4,4.7,No,74,76,52,67,67,C
Ashley Martinez,18,Female,Humanities,Urban,High School,No,Yes,Yes,Yes,1.38,6.79,84.0,7.2,Yes,59,58,73,63,63,C
Mark Wright,23,Male,STEM,Suburban,Master,No,No,Yes,Yes,7.74,7.16,79.2,2.8,No,100,92,74,74,85,A
Donald Thompson,23,Male,STEM,Suburban,Bachelor,No,Yes,No,Yes,4.8,7.43,74.3,6.6,Yes,80,71,77,72,75,B
Nancy Scott,24,Female,Business,Rural,Bachelor,No,No,Yes,Yes,5.36,6.98,81.4,1.8,No,94,78,87,71,83,B
Paul Harris,18,Male,Arts,Rural,Master,No,Yes,No,Yes,7.6,6.3,50.1,4.8,No,70,70,83,87,78,B
Mark Lee,23,Male,Business,Urban,High School,No,Yes,No,Yes,0.94,4.64,62.4,7.5,Yes,37,36,43,31,37,F
Richard Thomas,21,Male,STEM,Suburban,Bachelor,No,No,Yes,Yes,6.78,6.31,79.3,2.9,No,87,91,75,83,84,B
Andrew Harris,21,Male,Arts,Urban,High School,No,No,No,Yes,5.97,5.83,87.5,5.4,Yes,52,72,80,70,69,C
Joseph Clark,21,Male,STEM,Suburban,Master,No,No,Yes,Yes,3.18,7.56,82.9,6.1,Yes,74,67,65,74,70,B
Patricia Lee,18,Female,STEM,Urban,Bachelor,No,Yes,Yes,Yes,1.86,8.09,88.0,3.5,No,77,84,64,69,74,B
Donald Harris,23,Male,Humanities,Urban,Bachelor,No,No,Yes,Yes,0.95,8.13,87.5,3.3,No,57,56,72,69,64,C
Matthew Martinez,25,Male,STEM,Urban,High School,No,No,No,Yes,4.33,7.91,67.0,1.9,No,68,77,69,73,72,B
Ashley Williams,18,Female,Arts,Suburban,Bachelor,No,No,No,Yes,6.71,6.84,83.4,4.7,Yes,74,79,89,84,82,B
Elizabeth Allen,21,Female,Arts,Urban,Master,No,No,Yes,Yes,4.38,6.37,89.2,1.0,No,64,77,93,95,82,B
Donna Perez,24,Female,STEM,Suburban,Bachelor,Yes,No,No,Yes,2.21,6.1,64.8,5.3,No,74,77,55,57,66,C
Michael Lewis,23,Male,Humanities,Suburban,Bachelor,Yes,No,No,Yes,2.12,5.19,88.4,4.4,No,61,65,68,69,66,C
Michael King,23,Male,STEM,Urban,Bachelor,No,No,No,Yes,3.97,8.19,92.5,1.9,No,88,77,83,66,79,B
Sandra Smith,22,Female,Business,Suburban,Master,No,Yes,No,Yes,4.81,6.79,86.9,6.1,Yes,67,71,89,75,76,B
William Clark,22,Male,Humanities,Urban,Bachelor,No,Yes,No,Yes,6.24,5.5,60.7,6.9,Yes,64,59,69,61,63,C
Elizabeth Jones,19,Female,Business,Suburban,Master,No,No,Yes,Yes,1.74,6.01,68.1,6.8,Yes,51,60,72,61,61,C
Donald Taylor,25,Male,Humanities,Suburban,Master,No,Yes,Yes,No,7.66,5.96,74.7,2.9,No,77,83,88,85,83,B
Christopher Flores,25,Male,STEM,Urban,Bachelor,No,Yes,No,Yes,2.91,7.05,99.3,7.0,Yes,70,87,69,58,71,B
Matthew Garcia,20,Male,Arts,Urban,High School,No,Yes,No,Yes,4.45,8.28,87.2,5.3,No,55,72,70,85,71,B
Nancy Wright,25,Female,STEM,Urban,Bachelor,No,No,No,Yes,5.79,6.58,76.0,2.0,No,67,93,76,72,77,B
Betty Lee,22,Female,Business,Rural,Master,No,No,Yes,Yes,4.74,4.3,79.6,4.0,No,65,71,70,54,65,C
Ashley Wright,18,Female,Humanities,Suburban,High School,No,No,No,No,4.02,6.77,72.0,7.4,Yes,46,57,66,57,57,C
Patricia Flores,25,Female,STEM,Suburban,Bachelor,No,Yes,Yes,Yes,2.76,6.81,75.4,7.8,Yes,71,68,63,65,67,C
John Thomas,22,Male,Business,Suburban,Master,No,No,No,Yes,4.67,6.73,83.0,5.6,Yes,87,76,73,73,77,B
Charles Anderson,19,Male,STEM,Urban,Bachelor,No,No,Yes,Yes,3.64,6.25,84.6,6.3,Yes,77,68,69,76,73,B
John Ramirez,23,Male,Business,Suburban,Bachelor,No,No,No,Yes,0.5,7.26,97.8,5.6,Yes,64,48,64,50,57,C
Michael Miller,25,Male,Arts,Suburban,High School,No,No,Yes,Yes,5.48,7.08,88.8,3.8,No,74,76,85,81,79,B
Mark Hernandez,19,Male,Humanities,Urban,High School,Yes,No,No,Yes,2.52,6.97,60.7,5.4,Yes,58,60,66,62,62,C
Charles Johnson,23,Male,Business,Urban,Master,No,No,Yes,Yes,7.75,7.5,89.1,1.0,No,100,85,97,89,93,A
Robert Lee,24,Male,STEM,Urban,High School,Yes,No,No,Yes,6.58,6.48,97.9,2.5,No,93,84,70,74,80,B
Robert Jackson,24,Male,STEM,Suburban,High School,Yes,No,Yes,Yes,3.07,6.42,92.2,2.6,No,86,80,71,84,80,B
Lisa White,23,Female,STEM,Rural,Master,No,Yes,Yes,Yes,4.9,8.66,80.1,3.5,No,74,81,86,72,78,B
Margaret Martinez,25,Female,STEM,Urban,High School,No,Yes,No,Yes,3.82,7.67,51.2,4.1,No,66,77,62,58,66,C
Jessica King,20,Female,STEM,Suburban,PhD,No,Yes,Yes,Yes,1.77,7.99,94.7,5.4,No,81,76,64,67,72,B
Anthony Torres,22,Male,Humanities,Urban,PhD,Yes,Yes,No,Yes,4.64,8.47,90.5,4.4,No,70,76,92,95,83,B
David Hernandez,18,Male,Business,Rural,High School,No,No,No,Yes,8.49,7.63,40.0,4.8,Yes,82,66,78,71,74,B
Barbara Garcia,18,Female,Arts,Urban,High School,No,No,No,Yes,6.99,8.11,90.0,4.6,Yes,70,69,78,85,76,B
Joshua Harris,21,Male,STEM,Suburban,Bachelor,No,Yes,No,Yes,0.5,5.1,65.5,4.9,No,40,49,29,34,38,F
Joshua Thomas,23,Male,Humanities,Suburban,Bachelor,No,No,Yes,No,5.23,7.24,57.7,1.0,No,64,76,86,78,76,B
Ashley Nguyen,18,Female,Business,Suburban,High School,No,No,Yes,Yes,6.41,6.78,80.7,2.8,No,88,81,83,68,80,B
Elizabeth Anderson,25,Female,STEM,Suburban,Bachelor,No,No,No,Yes,2.78,9.01,83.2,3.0,No,72,73,57,64,67,C
Mark Taylor,20,Male,Business,Urban,High School,No,No,No,Yes,6.87,8.11,72.9,2.0,No,83,76,83,78,80,B
Mark Taylor,23,Male,Arts,Urban,Master,Yes,No,Yes,Yes,3.78,6.24,95.2,5.4,Yes,69,75,84,80,77,B
James Robinson,20,Male,STEM,Urban,High School,No,No,Yes,Yes,3.46,7.45,87.1,3.3,No,89,69,76,65,75,B
Charles Wright,25,Male,Arts,Urban,High School,Yes,No,No,Yes,2.65,7.2,71.5,3.1,No,57,67,68,69,65,C
David Jones,18,Male,Arts,Suburban,High School,No,Yes,Yes,Yes,0.5,7.55,92.3,6.2,No,47,54,60,73,59,C
Mark Thompson,18,Male,STEM,Urban,PhD,No,No,No,No,6.01,5.78,49.4,4.2,No,84,61,68,68,70,B
Andrew Martin,21,Male,Humanities,Urban,Bachelor,No,No,No,Yes,1.74,7.43,72.0,3.9,No,63,55,68,65,63,C
Anthony Taylor,18,Male,Humanities,Suburban,Master,No,No,Yes,Yes,5.04,6.73,85.5,3.6,No,72,67,87,79,76,B
Sandra Martin,23,Female,Business,Rural,Bachelor,No,Yes,No,Yes,3.63,7.34,72.1,5.9,Yes,70,57,72,61,65,C
Susan Harris,25,Female,Arts,Suburban,High School,No,No,No,Yes,2.68,6.13,85.1,4.1,No,58,66,80,53,64,C
Ashley Miller,24,Female,Arts,Urban,High School,No,No,No,Yes,7.49,6.3,68.6,3.1,No,60,67,84,69,70,B
Joseph Harris,25,Male,Business,Urban,Bachelor,Yes,No,Yes,Yes,3.73,8.41,66.0,3.0,No,74,74,81,75,76,B
Andrew Thompson,23,Male,Arts,Rural,Bachelor,Yes,No,Yes,Yes,9.18,5.74,81.1,3.1,No,78,82,95,91,87,A
Andrew Jackson,23,Male,STEM,Urban,Bachelor,No,Yes,No,No,0.5,5.83,78.9,5.9,No,57,40,56,32,46,D
Karen Johnson,21,Female,Arts,Urban,High School,No,Yes,No,Yes,3.09,6.94,91.3,6.8,No,51,60,76,51,60,C
Betty Moore,21,Female,Humanities,Suburban,Master,No,No,No,Yes,5.04,6.07,90.8,3.2,No,71,76,90,80,79,B
Mary Torres,18,Female,Arts,Suburban,High School,No,No,No,Yes,3.25,5.94,98.0,4.3,No,57,59,71,65,63,C
Patricia Hill,19,Female,STEM,Suburban,PhD,Yes,Yes,No,Yes,3.31,7.13,75.6,4.2,No,79,87,75,75,79,B
Donald Jackson,25,Male,Business,Urban,High School,No,No,Yes,Yes,5.44,5.19,60.6,4.1,No,69,66,73,51,65,C
Jessica Hill,25,Female,STEM,Urban,Bachelor,No,No,No,Yes,5.99,5.79,81.9,3.9,No,74,78,69,63,71,B
Lisa Anderson,19,Female,STEM,Rural,High School,Yes,No,No,Yes,3.8,9.46,43.4,2.3,No,74,81,61,59,69,C
Richard Flores,21,Male,STEM,Urban,Bachelor,No,Yes,No,Yes,3.48,7.55,90.7,5.7,No,83,66,68,72,72,B
Sarah Rodriguez,18,Female,STEM,Suburban,Bachelor,No,No,No,Yes,2.51,6.1,91.9,2.9,No,71,67,64,63,66,C
Michael Williams,19,Male,Business,Suburban,Bachelor,No,No,Yes,Yes,6.05,7.5,65.1,2.1,No,79,89,81,69,80,B
Charles Lewis,18,Male,Arts,Suburban,Bachelor,No,Yes,No,Yes,6.58,7.68,93.9,4.0,No,70,80,88,88,82,B
Patricia Nguyen,18,Female,STEM,Urban,Bachelor,No,No,No,Yes,6.29,8.19,59.8,2.9,No,76,90,75,75,79,B
Daniel Rodriguez,18,Male,Humanities,Urban,Bachelor,No,No,No,Yes,2.66,6.85,52.5,3.4,No,61,64,64,66,64,C
John Jackson,22,Male,Humanities,Suburban,Master,No,Yes,No,Yes,1.72,8.17,86.2,5.4,No,69,71,65,74,70,B
Christopher Clark,23,Male,Humanities,Rural,High School,No,No,No,Yes,12.14,4.55,93.7,4.7,Yes,65,63,81,87,74,B
Barbara Gonzalez,18,Female,STEM,Rural,Bachelor,No,No,No,Yes,7.97,5.73,68.8,2.0,No,86,81,76,68,78,B
William Wright,22,Male,Arts,Urban,Bachelor,No,No,No,Yes,6.0,7.2,57.8,5.4,Yes,65,74,65,80,71,B
Lisa King,21,Female,Humanities,Urban,Bachelor,No,No,No,Yes,8.53,7.4,95.3,4.6,Yes,69,85,88,84,82,B
Kimberly Moore,19,Female,Business,Rural,Bachelor,No,No,No,Yes,4.05,5.91,83.0,6.4,Yes,74,65,64,56,65,C
Barbara Taylor,23,Female,STEM,Suburban,High School,No,No,No,Yes,5.94,7.31,95.3,5.1,Yes,82,76,67,71,74,B
Donald Jackson,24,Male,STEM,Rural,High School,No,No,Yes,Yes,7.45,6.25,79.5,2.5,No,82,90,85,73,83,B
Nancy Davis,19,Female,Arts,Urban,High School,No,Yes,No,Yes,2.05,6.67,76.8,4.9,No,55,69,60,72,64,C
Sandra Jones,23,Female,Humanities,Suburban,High School,No,No,No,Yes,5.23,8.23,58.8,2.3,No,72,70,85,79,77,B
William Anderson,24,Male,Arts,Suburban,Bachelor,No,No,No,Yes,7.02,8.09,80.3,1.9,No,68,82,95,92,84,B
Betty Scott,19,Female,Arts,Suburban,Bachelor,No,No,No,Yes,2.18,5.8,69.1,6.1,Yes,51,49,64,66,58,C
Lisa Garcia,23,Female,STEM,Suburban,PhD,No,Yes,Yes,Yes,2.19,5.73,94.4,5.0,No,83,75,69,58,71,B
Betty Smith,19,Female,Business,Urban,Bachelor,No,No,No,Yes,6.94,6.51,98.8,3.4,No,92,73,90,71,82,B
Sarah Wright,19,Female,Humanities,Suburban,High School,No,No,Yes,Yes,4.58,6.97,95.7,3.1,No,79,75,81,90,81,B
Linda Robinson,24,Female,Arts,Urban,Master,No,No,No,Yes,5.49,6.21,87.8,4.9,No,63,75,81,69,72,B
Lisa Taylor,19,Female,Business,Suburban,Master,No,No,No,Yes,4.7,8.25,86.2,2.5,No,76,72,91,80,80,B
Andrew Harris,19,Male,Humanities,Rural,Bachelor,No,No,Yes,No,7.32,7.42,71.2,1.9,No,84,85,85,87,85,A
Lisa Miller,24,Female,STEM,Urban,Bachelor,No,Yes,No,Yes,0.86,7.49,77.9,6.9,No,60,59,44,53,54,D
Jessica Walker,21,Female,Arts,Rural,PhD,Yes,No,No,Yes,4.83,5.48,54.3,3.8,No,55,66,91,72,71,B
James Flores,18,Male,STEM,Urban,Bachelor,No,No,No,Yes,1.73,8.4,69.2,6.1,Yes,66,70,59,57,63,C
Emily Lee,25,Female,Business,Suburban,Master,No,No,Yes,Yes,4.81,3.62,92.5,7.2,Yes,54,49,50,56,52,D
Joshua Anderson,20,Male,Business,Rural,High School,No,Yes,No,Yes,1.98,8.0,41.2,4.9,No,48,59,50,59,54,D
Jennifer Robinson,22,Female,Business,Urban,High School,No,No,Yes,Yes,1.16,8.12,78.7,5.9,Yes,62,51,67,64,61,C
Karen Clark,20,Female,Business,Urban,Bachelor,No,No,No,Yes,2.54,6.48,56.1,2.5,No,65,65,54,53,59,C
Linda Rodriguez,20,Female,Arts,Suburban,Bachelor,No,No,Yes,Yes,4.58,8.53,99.5,2.6,No,78,73,77,81,77,B
Patricia Williams,23,Female,Humanities,Urban,Master,No,No,No,Yes,6.69,6.92,82.7,1.6,No,72,76,89,92,82,B
Karen Young,18,Female,Arts,Suburban,PhD,No,No,Yes,Yes,11.25,7.07,95.9,1.7,No,86,100,100,100,97,A
Linda Miller,23,Female,STEM,Rural,Bachelor,No,No,No,No,5.6,7.41,82.2,2.0,No,90,81,65,78,79,B
Jessica Wright,18,Female,Business,Suburban,High School,No,No,Yes,Yes,3.72,10.82,83.8,1.8,No,62,56,57,52,57,C
Elizabeth Harris,24,Female,Business,Urban,Master,No,No,No,Yes,5.18,8.61,79.5,2.4,No,86,80,86,78,83,B
Sandra White,24,Female,STEM,Suburban,Bachelor,No,No,No,Yes,4.48,7.84,71.7,3.0,No,83,81,69,75,77,B
Emily Clark,25,Female,Humanities,Suburban,High School,Yes,No,No,Yes,3.16,5.9,78.0,3.8,No,61,65,69,70,66,C
Donna Martinez,18,Female,Humanities,Urban,Bachelor,No,No,No,Yes,4.68,7.17,90.6,2.3,No,71,67,90,77,76,B
Anthony Miller,19,Male,STEM,Suburban,Bachelor,Yes,Yes,No,Yes,0.92,6.02,81.8,5.1,No,67,68,48,54,59,C
Donald Flores,21,Male,Humanities,Suburban,Master,No,Yes,Yes,Yes,3.33,7.99,98.5,7.4,Yes,71,72,80,85,77,B
Margaret Moore,25,Female,STEM,Suburban,Bachelor,No,Yes,Yes,Yes,2.28,7.17,89.0,5.5,No,76,77,68,70,73,B
